course_name,race_name,off_time,horse_name,betfair_price,trainer_name,jockey_name,market_rank
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,Bollin Neil (GB),3.00,T D Easterby,Jake Dickson,1
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,Kokinelli (FR),3.15,H Palmer,Liam Wright,2
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,Trapper John (GB),4.50,Harry Eustace,Elizabeth Gale,3
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,Kitsune Power (IRE),5.30,T D Easterby,C Horgan,4
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,Arctic Fox (GB),6.00,M Todhunter,Shay Farmer,5
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,Wasthatok (GB),7.00,P A Kirby,Rhys Elliott,6
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Sierra Sands (IRE),2.28,E A L Dunlop,Edward Greatrex,1
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Mystical Eye (GB),3.75,A M Balding,Callum Hutchinson,2
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Eagle Bay (IRE),5.50,E Walker,P Mulrennan,3
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Galileo Blue,5.60,H Palmer,Harry Davies,4
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Uncle Nader,9.00,Jack Jones,O J Orr,5
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Wagyu Star,9.00,J & S Quinn,Jason Hart,5
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Deep Sleep (GB),10.00,T D Easterby,Sean Kirrane,7
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,This Rib (GB),11.00,D Loughnane,William Pyle,8
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,West Sleekburn Lad,12.00,P D Niven,D Nolan,9
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Lilykoy (GB),14.00,Dylan Cunha,Morgan Cole,10
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Ra,10:28:00,Secret Sonata (GB),2.30,A M Balding,Callum Hutchinson,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Ra,10:28:00,Proud To Be Fox (GB),3.00,T D Easterby,Sean Kirrane,2
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Ra,10:28:00,Savannah Grey (IRE),3.25,Ollie Sangster,S D Bowen,3
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Ra,10:28:00,Pension Pot (GB),3.60,T D Barron,William Pyle,4
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Ra,10:28:00,He's Our Cracker,9.40,J Candlish,Darragh Keenan,5
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Ra,10:28:00,Nanyuki (IRE),12.00,Mrs A Duffield,Rowan Scott,6
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Ra,10:28:00,Approaching Dawn (GB),12.00,J S Goldie,P Mulrennan,6
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Ra,10:28:00,Harry Mole (GB),23.00,Steph Hollinshead,D C Costello,8
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Ra,10:28:00,Benjamin Brodie (GB),42.00,B Rothwell,Aiden Brookes,9
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Thosewerethedays (IRE),3.00,R M Beckett,Edward Greatrex,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Aajej (GB),4.00,S & E Crisford,Harry Davies,2
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Fouroneohfever (IRE),5.60,G Boughey,Tommie Jakes,3
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Made All (GB),6.00,S England,O J Orr,4
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Ghaiyya (GB),6.20,C Johnston,Jason Hart,5
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Mafting (GB),6.60,D O'Meara,D Nolan,6
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Arkinthestars (GB),7.60,K R Burke,Pierre-Louis Jamin,7
