course_name,race_name,off_time,horse_name,win_ppwap,rank
Catterick,Go Racing In Yorkshire Future Stars Apprentice Handicap,09:30:00,Bollin Neil (GB),3,1
Catterick,Go Racing In Yorkshire Future Stars Apprentice Handicap,09:30:00,NO NAME,3,1
Catterick,Go Racing In Yorkshire Future Stars Apprentice Handicap,09:30:00,Kokinelli (FR),3.15,3
Catterick,Go Racing In Yorkshire Future Stars Apprentice Handicap,09:30:00,NO NAME,3.15,3
Catterick,Go Racing In Yorkshire Future Stars Apprentice Handicap,09:30:00,NO NAME,4.5,5
Catterick,Go Racing In Yorkshire Future Stars Apprentice Handicap,09:30:00,Trapper John (GB),4.5,5
Catterick,Go Racing In Yorkshire Future Stars Apprentice Handicap,09:30:00,NO NAME,5.3,7
Catterick,Go Racing In Yorkshire Future Stars Apprentice Handicap,09:30:00,Kitsune Power (IRE),5.3,7
Catterick,Go Racing In Yorkshire Future Stars Apprentice Handicap,09:30:00,NO NAME,6,9
Catterick,Go Racing In Yorkshire Future Stars Apprentice Handicap,09:30:00,Arctic Fox (GB),6,9
Catterick,Go Racing In Yorkshire Future Stars Apprentice Handicap,09:30:00,Wasthatok (GB),7,11
Catterick,Go Racing In Yorkshire Future Stars Apprentice Handicap,09:30:00,NO NAME,7,11
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Sierra Sands (IRE),2.28,1
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,NO NAME,2.28,1
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Mystical Eye (GB),3.75,3
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,NO NAME,3.75,3
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,NO NAME,5.5,5
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Eagle Bay (IRE),5.5,5
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Galileo Blue,5.6,7
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Galileo Blue,5.6,7
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Uncle Nader,9,9
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Uncle Nader,9,9
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Wagyu Star,9,9
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Wagyu Star,9,9
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,NO NAME,10,13
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Deep Sleep (GB),10,13
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,This Rib (GB),11,15
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,NO NAME,11,15
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,West Sleekburn Lad,12,17
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,West Sleekburn Lad,12,17
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Lilykoy (GB),14,19
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,NO NAME,14,19
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,NO NAME,2.3,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,He's Our Cracker,2.3,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,Secret Sonata (GB),2.3,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,Pension Pot (GB),2.3,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,He's Our Cracker,2.3,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,NO NAME,2.3,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,Nanyuki (IRE),2.3,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,NO NAME,2.3,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,NO NAME,2.3,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,Proud To Be Fox (GB),2.3,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,Approaching Dawn (GB),2.3,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,Savannah Grey (IRE),2.3,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,NO NAME,2.3,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,NO NAME,2.3,1
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,NO NAME,23,15
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,Harry Mole (GB),23,15
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,Benjamin Brodie (GB),42,17
Catterick,Every Race Live On Racing TV Novice Stakes (GBB Race),10:28:00,NO NAME,42,17
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,NO NAME,2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,Elsie's Ruan,2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,Yellow Card (GB),2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,Playtime (GB),2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,Natzor (FR),2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,Spanish Hustle (GB),2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,Made All (GB),2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,Aajej (GB),2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,Fouroneohfever (IRE),2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,Ghaiyya (GB),2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,Mafting (GB),2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,NO NAME,2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,NO NAME,2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,NO NAME,2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,NO NAME,2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,NO NAME,2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,NO NAME,2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,NO NAME,2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,NO NAME,2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,NO NAME,2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,Elsie's Ruan,2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,Arkinthestars (GB),2.7,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,Thosewerethedays (IRE),3,23
Catterick,Download The Raceday Ready App Handicap (GBBPlus Race),10:56:00,NO NAME,3,23
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,In A Hurry (GB),2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,Chuti Manika (IRE),2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,NO NAME,2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,Wreck It Ryley (IRE),2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,NO NAME,2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,Native Instinct (GB),2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,Magic Boy (GER),2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,Quest For Fun (GB),2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,Mudamer (IRE),2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,NO NAME,2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,NO NAME,2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,NO NAME,2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,NO NAME,2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,NO NAME,2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,NO NAME,2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,Highfield Viking (GB),2.7,1
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,Vince Le Prince (GB),2.74,17
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,NO NAME,2.74,17
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,NO NAME,5.5,19
Catterick,William Hill Football Final One Standing Handicap (Div 1),11:23:00,Havana Prince (GB),5.5,19
Catterick,William Hill Football Final One Standing Handicap (Div 2),11:50:00,Sir Garfield (IRE),2.74,1
