course_name,race_name,off_time,horse_name,win_ppwap,trainer_name,rank
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,Bollin Neil (GB),3,T D Easterby,1
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,,3,T D Easterby,1
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,Kokinelli (FR),3.15,H Palmer,3
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,,3.15,H Palmer,3
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,,4.5,Harry Eustace,5
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,Trapper John (GB),4.5,Harry Eustace,5
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,,5.3,T D Easterby,7
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,Kitsune Power (IRE),5.3,T D Easterby,7
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,,6,M Todhunter,9
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,Arctic Fox (GB),6,M Todhunter,9
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,Wasthatok (GB),7,P A Kirby,11
Catterick,Go Racing In Yorkshire Future Stars Apprentice Han,09:30:00,,7,P A Kirby,11
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Sierra Sands (IRE),2.28,E A L Dunlop,1
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,,2.28,E A L Dunlop,1
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Mystical Eye (GB),3.75,A M Balding,3
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,,3.75,A M Balding,3
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,,5.5,E Walker,5
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB Race),10:00:00,Eagle Bay (IRE),5.5,E Walker,5
