 course_id | region | races 
-----------+--------+-------
     10955 | IRE    |  4893
        75 | GB     |  3768
       137 | GB     |  3662
        74 | GB     |  3577
        50 | GB     |  3243
     10942 | IRE    |  3121
        73 | GB     |  2985
       157 | GB     |  2946
       149 | GB     |  2908
     10943 | IRE    |  2875
     10940 | IRE    |  2759
        66 | GB     |  2624
       147 | GB     |  2502
       166 | GB     |  2457
     10938 | IRE    |  2451
       159 | GB     |  2451
     10939 | IRE    |  2450
       162 | GB     |  2443
     10978 | IRE    |  2433
     10964 | IRE    |  2417
     10971 | IRE    |  2381
     10975 | IRE    |  2346
       163 | GB     |  2336
        76 | GB     |  2332
       481 | GB     |  2318
       164 | GB     |  2302
       167 | GB     |  2208
       173 | GB     |  2194
       508 | GB     |  2141
       130 | GB     |  1875
       406 | GB     |  1844
       141 | GB     |  1801
       153 | GB     |  1759
        72 | GB     |  1734
       106 | GB     |  1704
     10969 | IRE    |  1698
        70 | GB     |  1614
     10952 | IRE    |  1569
     10941 | IRE    |  1558
     10956 | IRE    |  1544
     10973 | IRE    |  1543
     10988 | IRE    |  1399
     10954 | IRE    |  1391
     10972 | IRE    |  1308
     10947 | IRE    |  1291
     10951 | IRE    |  1274
     10945 | IRE    |  1269
     10960 | IRE    |  1219
        81 | GB     |  1217
       410 | GB     |  1198
     10957 | IRE    |  1008
        82 | GB     |   994
     10944 | IRE    |   987
        97 | GB     |   921
       165 | GB     |   881
     10953 | IRE    |   868
     10962 | IRE    |   114
     10946 | IRE    |    94
(58 rows)

